Compound ID	Smiles
EOAI10404809	CC(=O)N1CC2(C1)CCN(C2)C(=O)CN1N=C2N(C=CN3N=C(C=C23)C2=CC(C)=CC=C2C)C1=O
EOAI10404810	CC(=O)N1CCC(CNC(=O)CN2N=C3N(C=CN4N=C(C=C34)C3=CC(C)=CC=C3C)C2=O)C1
EOAI10404811	CN1C(=O)COC11CN(C1)C(=O)CN1N=C2N(C=CN3N=C(C=C23)C2=CC(C)=CC=C2C)C1=O
EOAI10404812	CC1=CC(C2=NN3C=CN4C(=O)N(CC(=O)NCC5=CN=CN=C5)N=C4C3=C2)=C(C)C=C1
EOAI10404814	CC1=CC(C2=NN3C=CN4C(=O)N(CC(=O)NCC5=CC=NC=N5)N=C4C3=C2)=C(C)C=C1
EOAI10404815	CC1=CC=C(C)C(=C1)C1=NN2C=CN3C(=O)N(CC(=O)N4CCC5=NC=NC=C5C4)N=C3C2=C1
EOAI10404816	CC1=CC(C2=NN3C=CN4C(=O)N(CC(=O)NCC5=NOC=C5)N=C4C3=C2)=C(C)C=C1
EOAI10404817	CC1=NN2CCN(CC2=N1)C(=O)CN1N=C2N(C=CN3N=C(C=C23)C2=CC(C)=CC=C2C)C1=O
EOAI10404818	CC1=NOC(CNC(=O)CN2N=C3N(C=CN4N=C(C=C34)C3=C(C)C=CC(C)=C3)C2=O)=N1
EOAI10404819	CC1=CC(C2=NN3C=CN4C(=O)N(CC(=O)NCC56CC(C5)OC6)N=C4C3=C2)=C(C)C=C1
EOAI10404820	CC1=CC=C(C)C(=C1)C1=NN2C=CN3C(=O)N(CC(=O)N4CCC5=NN=CC=C5C4)N=C3C2=C1
EOAI10404821	CC1=CC(C2=NN3C=CN4C(=O)N(CC(=O)N5CCCN6N=NC=C6C5)N=C4C3=C2)=C(C)C=C1
EOAI10404822	COCC1=NOC(CNC(=O)CN2N=C3N(C=CN4N=C(C=C34)C3=CC(C)=CC=C3C)C2=O)=N1
EOAI10404823	CN1N=C(CNC(=O)CN2N=C3N(C=CN4N=C(C=C34)C3=CC(C)=CC=C3C)C2=O)OC1=O
EOAI10404824	CC1=CC(C2=NN3C=CN4C(=O)N(CC(=O)NCC56CC(C5)C6)N=C4C3=C2)=C(C)C=C1
EOAI10404825	CC(=O)N1CCCC1CNC(=O)CN1N=C2N(C=CN3N=C(C=C23)C2=CC(C)=CC=C2C)C1=O
EOAI10404826	CC1=CC(C2=NN3C=CN4C(=O)N(CC(=O)NCC5=NOCC5)N=C4C3=C2)=C(C)C=C1
EOAI10404841	CC(NC(=O)CN1N=C2N(C=CN3N=C(C=C23)C2=CC(C)=CC=C2C)C1=O)C1=NOC=N1
